Restaurants Type,id,name,city,area,avgRating,totalRatingsString,cuisines,costForTwoStrings,deliveryTime,minDeliveryTime,maxDeliveryTime,address,locality,unserviceable,Vegetarian
Fine,37933,Faasos - Wraps & Rolls,Ahmedabad,Vastrapur,4.2,500+,"['Combo','Snacks','Beverages','Desserts','Indian']",200,44,44,44,SHOP NO 2 HOTEL SHAHI PALACE VASTRAPUR LAKE AHMEDABAD GUJARAT,HOTEL SHAHI PALACE,False,False
Fine,81814,Burger King,Ahmedabad,Ellisbridge,4.2,1000+,"['American','Fast,Food']",350,33,33,33,SHOP # 5 GR FLR THIRD EYE 2PANCHAVATI CIRCLE OPP PARIMAL GARDENAHMADABAD-382424,3rd Eye II Ellis Bridge CG Road,False,False
Fine,107046,Mahalaxmi Pav Bhaji,Ahmedabad,Ellisbridge,4.3,500+,"['North,Indian']",200,28,28,28,GF 9/10 Dev complexnear parimal charasta opp. Mercedes show room.parimal gardan Ahmedabad,C G Road,False,True
Fine,328315,HIIT Meals,Ahmedabad,Vishala,0.0,Too Few,"['Fast,Food','Combo','Snacks','North,Indian','Street,Food','Beverages','Desserts']",150,51,51,51,C11 Rajyash Rise Near Vishala Restaurant Vasna AhmedabadGujarat-380007,Vasna,False,False
Fine,108879,Jay Jalaram Parotha House,Ahmedabad,Ellisbridge,3.9,100+,"['North,Indian']",250,29,29,29,Capital Commercial Centre Near UCO Bank Ashram Road Ahmedabad,Ashram Road,False,True
Fine,140314,Jalaram Parotha House,Ahmedabad,Paldi,3.9,20+,"['North,Indian','Gujarati']",450,28,28,28,1214 Sahjanand Trade Centre Opposite Kothawala Flats Besides Sharma Musical Pritamnagar Paldi Ahmedabad,Paldi,False,True
Fine,270210,Cake Dengo Cake Shop,Ahmedabad,Drive In Road,4.1,100+,['Desserts'],500,50,50,50,Unit No 11-12 Gokul Complex Opp Gurukul Mandir Drive In Road Memnagar Thaltej(New West Zone) Ahmedabad Municipal Corporation Ahmedabad Gujarat - 380052,Gurukul rod,False,False
Fine,47788,The Westend Hotel (Mayflower),Ahmedabad,Ellisbridge,4.4,100+,"['Indian','Chinese']",450,27,27,27,Hotel The Westend Gujarat College Road Ellis Bridge Ahmedabad,Ellisbridge,False,False
Fine,58425,Modi Sandwich And Pizza-Paldi,Ahmedabad,Paldi,3.9,1000+,"['Fast,Food','Beverages']",250,33,33,33,1 Abhishek Bhatta Paldi Ahmedabad,Paldi,False,True
Fine,180360,Sugarless Life,Ahmedabad,Navrangpura,4.2,100+,"['Desserts','Sweets','Combo','Italian','Pizzas','Snacks']",250,36,36,36,Dynamic house vijay cross road beside hdfc bank,Navrangpura,False,False
Fine,99297,Pickmeal,Ahmedabad,Paldi,4.2,100+,['Indian'],500,28,28,28,Hotel Pinnacle opposite townhall Ellisbridge.,Ellisbridge,False,False
Fine,52712,Decent Restaurant,Ahmedabad,Paldi,0.0,Too Few,"['North,Indian','Chinese']",650,36,36,36,1st Floor Badshah Chambers Opposite Town Hall Ellis Bridge Ahmedabad,Navrangpura,False,False
Fine,40844,Hocco Eatery,Ahmedabad,Gulbai Tekra,4.4,50+,"['North,Indian','Pizzas']",400,29,29,29,Havmor Panchvati C.G.Road Ahmedabad - 380006,Panchvati,False,True
Fine,395939,KFC,Ahmedabad,Paldi & Ambawadi,4.2,500+,"['American','Fast,Food','Snacks']",400,37,37,37,KFC- CG Road - GF 7 Ground Floor  3rd Eye Two Near Panchwati Cross Road CG Road Ahmedabad 380009,Panchwati Cross,False,False
Fine,59439,Vadilal Scoop shop,Ahmedabad,Paldi,4.4,20+,"['Ice,Cream','Desserts']",300,24,24,24,Opposite VS Hospital Near Pavan Travels Ellis Bridge Ahmedabad,Ellis Bridge,False,False
Fine,252004,Om Food Center - Vastrapur Lake,Ahmedabad,Vastrapur,4.1,100+,"['Indian','North,Indian','Punjabi','Gujarati','Thalis','Combo']",200,44,44,44,Shop no. 6 Himalayan arcade-A Opp. Vastrapur lake Vastrapur Ahmedabad- 380015,Vastrapur,False,False
Fine,53268,Alpine Restaurant & Banquet,Ahmedabad,Paldi,0.0,Too Few,"['Indian','Chinese']",800,32,32,32,Rangoli Complex Opposite V.S. Hospital,Ellis Bridge,False,True
Fine,63469,Udupi Shree Darshini Restaurant,Ahmedabad,Ellisbridge,4.4,500+,"['South,Indian']",300,28,28,28,Ellis Bridge Shopping Center Near Town Hall Ellis Bridge Ahmedabad,Ellis Bridge,False,True
Fine,37733,Sweet Truth - Cake and Desserts,Ahmedabad,Vastrapur,4.2,100+,"['Ice,Cream','Bakery','Desserts','Beverages']",450,44,44,44,SHOP NO 2 HOTEL SHAHI PALACE VASTRAPUR LAKE AHMEDABAD GUJARAT,HOTEL SHAHI PALACE,False,False
Fine,390395,Radhanand Restaurant,Ahmedabad,Paldi & Ambawadi,0.0,Too Few,"['Chinese','Punjabi','Rajasthani']",200,34,34,34,old daliya building opp.town hall karnavti hospital road ellisbridge  Ahmedabad-380006,Paldi & Ambawadi,False,False
Fine,79269,M.M.Parotha House,Ahmedabad,Ellisbridge,3.7,50+,"['Indian','Chinese','Fast,Food']",200,27,27,27,Dalia Building  Nr.Karnawati Hospital Ellisbridge Ahmedabad-380006,Ellisbridge Ahmedabad,False,True
Fine,54309,Ristretto Behind The Rods,Ahmedabad,Navrangpura,4.0,50+,"['Continental','Pizzas','Chinese','North,Indian','Desserts','Punjabi','Indian','Healthy,Food','Pastas','Beverages']",700,40,40,40,B5 Ground Floor Maharaja Palace University Road Near Vijay Cross Roads Navrangpura Ahmedabad,Navrangpura,False,False
Fine,432316,Jay Ambe Fast Food and Restaurant,Ahmedabad,Paldi & Ambawadi,0.0,Too Few,"['Fast,Food','Thalis']",250,35,35,35,909-916 Sakar 2 near Ellisbridge opposite Town hall Ellisbridge Ahmedabad Gujarat 380006 Indien,Paldi & Ambawadi,False,True
Fine,55065,Hotel The Lotus Park,Ahmedabad,Paldi,4.0,500+,"['North,Indian','Chinese','Beverages','Biryani','Continental','Desserts','Fast,Food','Snacks','Italian','Indian','Thalis']",250,31,31,31,Iscon Square Opposite Kothawala Flat Ellisbridge Paldi Ahmedabad,Paldi,False,True
Fine,328563,Pick Up Meals by Terra,Ahmedabad,Vishala,4.2,100+,"['Healthy,Food','Salads','Combo','Lebanese','Mediterranean','Mexican','Pizzas','Juices','Beverages']",250,49,49,49,C11 Rajyash Rise Near Vishala Restaurant Vasna AhmedabadGujarat-380007,Vasna,False,False
Fine,37689,McDonald's,Ahmedabad,Ellisbridge,4.3,500+,"['American','Fast,Food']",400,29,29,29,Shop# 1 & 2  Ground Floor 3rd Eye 2 Building Panchavati Circle Oppo Parimal Garden Ellisebridge Ahmedabad- 380009.,CG Road,False,False
Fine,147639,429 Restaurant,Ahmedabad,Ellisbridge,3.9,20+,"['North,Indian','Chinese','Mughlai']",300,32,32,32,Hotel Golden Plaza Opposite Townhall Near Karnavati Hospital Ellis Bridge Ahmedabad,Ellis Bridge,False,False
Fine,54871,9834 The Fruit Truck,Ahmedabad,Jodhpur Tekra,4.5,100+,"['Juices','Beverages','Desserts','Healthy,Food']",300,40,40,40,Shop no 23 Shivalay 2 Jodhpur Village Rd Satellite Ahmedabad Gujarat 380015,Satellite,False,True
Fine,391434,Al Kafeel Biryani,Ahmedabad,Navrangpura,0.0,Too Few,"['North,Indian','Biryani']",250,34,34,34,Hotel Golden Plaza 829-530EllisbridgeAhmedabadGujarat        380006,Navrangpura,False,False
